"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",5,74000000,"",80,"","","",110,"2011年","木造","","","北西","私道",4,"１中住専",60,160,"2022年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","吉祥寺",20,58000000,"",105,"","","",60,"2013年","木造","","","西","公道",4,"１低住専",50,100,"2022年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","井の頭公園",10,85000000,"",115,"","","",90,"1999年","軽量鉄骨造","","","北東","公道",3.6,"１低住専",40,80,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",10,65000000,"",110,"","","",90,"2007年","木造","","","南東","私道",4,"１低住専",40,80,"2022年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","吉祥寺",15,55000000,"",70,"","","",75,"1990年","木造","","","","公道",4,"１低住専",40,80,"2022年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","吉祥寺",15,46000000,"",50,"","","",85,"1997年","木造","","","南西","公道",5.2,"近隣商業",80,200,"2022年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",10,69000000,"",110,"","","",90,"2004年","木造","","","北","公道",4.5,"１低住専",40,80,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","井の頭公園",5,130000000,"",120,"","","",145,"2017年","木造","","","北","私道",4.8,"１低住専",40,80,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","井の頭公園",5,80000000,"",110,"","","",85,"1997年","木造","","","北西","私道",2.7,"１低住専",40,80,"2023年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",10,100000000,"",145,"","","",110,"2008年","木造","","","北東","公道",4,"１低住専",40,80,"2023年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","","",17000000,"",65,"","","",70,"","","","","","","","１低住専",40,80,"2023年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",10,66000000,"",110,"","","",90,"1990年","木造","","","南","公道",4,"１低住専",40,80,"2023年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","吉祥寺",10,160000000,"",175,"","","",170,"1996年","木造","","","北東","公道",4.4,"１低住専",40,80,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","井の頭公園",10,50000000,"",80,"","","",75,"1971年","木造","","","東","公道",5.2,"１低住専",50,100,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",10,19000000,"",70,"","","",55,"1962年","木造","","","","","","１低住専",40,80,"2024年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","井の頭公園",15,67000000,"",100,"","","",80,"2001年","木造","","","東","公道",4,"１低住専",40,80,"2024年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",5,56000000,"",125,"","","",170,"1965年","","","","北東","公道",6.1,"１低住専",50,80,"2024年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",5,57000000,"",110,"","","",110,"1978年","","","","北東","私道",4,"１低住専",40,80,"2024年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","吉祥寺",15,110000000,"",110,"","","",90,"2021年","木造","","","南東","公道",3.8,"１低住専",40,80,"2024年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","井の頭公園",15,100000000,"",125,"","","",100,"2013年","木造","","","","","","１低住専",40,80,"2024年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",5,38000000,"",45,"","","",100,"1995年","木造","","","北東","公道",6.2,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","井の頭公園",5,140000000,"",120,"","","",145,"2017年","木造","","","西","私道",5,"１低住専",40,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",10,78000000,"",105,"","","",80,"2014年","木造","","","","",4,"１低住専",40,80,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","井の頭公園",10,140000000,"",185,"","","",100,"2005年","木造","","","北西","公道",4,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",10,31000000,"",60,"","","",60,"1980年","木造","","","南西","公道",4.6,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","吉祥寺",15,73000000,"",110,"","","",110,"1989年","木造","","","","私道",4,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",5,78000000,"",100,"","","",80,"2007年","木造","","","南東","公道",4,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","井の頭公園",10,95000000,"",120,"","","",95,"2009年","木造","","","西","公道",4.5,"１低住専",50,80,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",10,84000000,"",105,"","","",85,"2024年","木造","","","西","公道","","１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","吉祥寺",15,120000000,"",130,"","","",100,"2014年","木造","","","北","公道",6,"１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",10,50000000,"",200,"","","",120,"1968年","木造","","","","","","１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",15,67000000,"",115,"","","",90,"2018年","木造","","","北東","公道",4,"１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","吉祥寺",20,76000000,"",170,"","","",145,"1969年","木造","","","北","私道",3.5,"１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","井の頭公園",10,85000000,"",135,"","","",115,"2001年","木造","","","北東","公道",3.7,"１低住専",40,80,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13204","東京都","三鷹市","井の頭","三鷹台",5,90000000,"",95,"","","",85,"2023年","木造","","","南東","公道",3.6,"１中住専",60,160,"2025年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園",7,23000000,2100000,35,630000,"不整形",28,"","","","","その他","南","市道",4,"１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園",5,240000000,"",400,"","ほぼ長方形",20.9,500,"1972年","鉄骨造","共同住宅","住宅","北","私道",3.2,"１低住専",40,80,"2025年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園",4,120000000,1500000,260,460000,"不整形","","","","","","住宅","西","私道",4.8,"１低住専",40,80,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園",6,110000000,"",110,"","袋地等",25.9,90,"2024年","木造","住宅","住宅","南西","市道",4,"１低住専",40,80,"2025年第1四半期",""
